operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;nivel_educativo;personas_a_cargo
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;5_a_10;25_a_30;16000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;3000;3;OTROS;PAGO_DEUDAS;N;ACTIVO;F;DESCONOCIDO;1.0
30_a_50;2k_a_4k;5k_a_10k;mayor_4y;15p_a_20p;50k_a_100k;20_a_40;menor_10;menor_25;16000;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0
50_a_75;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;5_a_10;menor_25;16000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;1.0
50_a_75;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;menor_10;menor_25;16000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;DESCONOCIDO;2.0
50_a_75;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;3825;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0
15_a_30;2k_a_4k;mayor_10k;menor_2y;15p_a_20p;50k_a_100k;20_a_40;menor_10;menor_25;16000;4;ALQUILER;INVERSIONES;Y;PASIVO;M;UNIVERSITARIO_COMPLETO;4.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;5_a_10;menor_25;16000;2;ALQUILER;PERSONAL;Y;ACTIVO;M;SECUNDARIO_COMPLETO;1.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;5_a_10;25_a_30;16000;3;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;3.0
50_a_75;2k_a_4k;3k_a_5k;mayor_4y;7p_a_15p;50k_a_100k;20_a_40;5_a_10;menor_25;16000;3;ALQUILER;PERSONAL;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;0.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;15p_a_20p;50k_a_100k;20_a_40;5_a_10;25_a_30;16000;4;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;SECUNDARIO_COMPLETO;2.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;20_a_40;5_a_10;25_a_30;7000;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;SECUNDARIO_COMPLETO;2.0
50_a_75;2k_a_4k;5k_a_10k;2y_a_4y;;20k_a_50k;40_a_60;5_a_10;25_a_30;12000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;1.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;;50k_a_100k;20_a_40;menor_10;25_a_30;16000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
50_a_75;2k_a_4k;5k_a_10k;menor_2y;7p_a_15p;20k_a_50k;20_a_40;menor_10;menor_25;7800;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;SECUNDARIO_COMPLETO;2.0
30_a_50;2k_a_4k;menor_3k;menor_2y;7p_a_15p;50k_a_100k;20_a_40;menor_10;25_a_30;16000;2;ALQUILER;PERSONAL;Y;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;3.0
15_a_30;2k_a_4k;menor_3k;mayor_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;5000;2;HIPOTECA;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;20_a_40;menor_10;menor_25;16000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;POSGRADO_INCOMPLETO;4.0
15_a_30;menor_1k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;PAGO_DEUDAS;Y;PASIVO;M;UNIVERSITARIO_COMPLETO;3.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;hasta_7p;20k_a_50k;20_a_40;NA;25_a_30;10000;3;PROPIA;EDUCACIÓN;N;ACTIVO;M;DESCONOCIDO;1.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;2000;2;PROPIA;PERSONAL;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;4000;2;HIPOTECA;PERSONAL;N;ACTIVO;M;SECUNDARIO_COMPLETO;3.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;hasta_7p;20k_a_50k;20_a_40;5_a_10;menor_25;6000;2;PROPIA;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
30_a_50;2k_a_4k;5k_a_10k;mayor_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;25_a_30;1000;2;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0
50_a_75;2k_a_4k;3k_a_5k;mayor_4y;15p_a_20p;20k_a_50k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;PERSONAL;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;;20k_a_50k;20_a_40;menor_10;menor_25;10000;3;HIPOTECA;MEJORAS_HOGAR;Y;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0
50_a_75;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;4.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;PAGO_DEUDAS;Y;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
50_a_75;2k_a_4k;menor_3k;mayor_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;3;ALQUILER;SALUD;Y;ACTIVO;F;SECUNDARIO_COMPLETO;1.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;15p_a_20p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;15p_a_20p;20k_a_50k;20_a_40;menor_10;25_a_30;8500;3;PROPIA;PAGO_DEUDAS;N;ACTIVO;F;DESCONOCIDO;5.0
30_a_50;2k_a_4k;menor_3k;menor_2y;7p_a_15p;20k_a_50k;40_a_60;5_a_10;menor_25;14500;2;HIPOTECA;SALUD;Y;ACTIVO;F;SECUNDARIO_COMPLETO;5.0
50_a_75;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;20_a_40;5_a_10;menor_25;7000;2;HIPOTECA;SALUD;N;ACTIVO;M;SECUNDARIO_COMPLETO;2.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;15p_a_20p;20k_a_50k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;F;SECUNDARIO_COMPLETO;3.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;25_a_30;1000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0
30_a_50;2k_a_4k;mayor_10k;menor_2y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;2000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;4;ALQUILER;SALUD;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0
30_a_50;2k_a_4k;5k_a_10k;menor_2y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0
50_a_75;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;DESCONOCIDO;5.0
50_a_75;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;mayor_60;5_a_10;menor_25;17000;4;HIPOTECA;INVERSIONES;Y;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;4;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;4.0
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
50_a_75;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
50_a_75;2k_a_4k;5k_a_10k;menor_2y;7p_a_15p;20k_a_50k;hasta_20;NA;menor_25;1000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;2.0
30_a_50;menor_1k;5k_a_10k;menor_2y;7p_a_15p;20k_a_50k;20_a_40;menor_10;menor_25;7000;4;HIPOTECA;INVERSIONES;Y;PASIVO;F;DESCONOCIDO;2.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;;20k_a_50k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0
30_a_50;2k_a_4k;menor_3k;mayor_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;500;4;HIPOTECA;PERSONAL;N;ACTIVO;F;SECUNDARIO_COMPLETO;0.0
15_a_30;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;SECUNDARIO_COMPLETO;3.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;20_a_40;menor_10;25_a_30;10000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;3.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;hasta_7p;20k_a_50k;hasta_20;menor_10;menor_25;5000;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
15_a_30;menor_1k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;25_a_30;1000;2;ALQUILER;SALUD;Y;PASIVO;M;UNIVERSITARIO_INCOMPLETO;3.0
30_a_50;2k_a_4k;3k_a_5k;mayor_4y;7p_a_15p;20k_a_50k;20_a_40;5_a_10;25_a_30;6000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;5000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;SECUNDARIO_COMPLETO;3.0
50_a_75;2k_a_4k;mayor_10k;menor_2y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;40_a_60;5_a_10;menor_25;12000;4;HIPOTECA;PERSONAL;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0
15_a_30;2k_a_4k;mayor_10k;mayor_4y;;20k_a_50k;20_a_40;5_a_10;menor_25;7500;2;PROPIA;INVERSIONES;N;ACTIVO;F;SECUNDARIO_COMPLETO;1.0
50_a_75;2k_a_4k;3k_a_5k;menor_2y;7p_a_15p;20k_a_50k;20_a_40;menor_10;25_a_30;10000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;POSGRADO_INCOMPLETO;2.0
15_a_30;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;PERSONAL;N;ACTIVO;M;SECUNDARIO_COMPLETO;4.0
50_a_75;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;25_a_30;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;SALUD;N;ACTIVO;M;DESCONOCIDO;3.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;0.0
15_a_30;menor_1k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;3;ALQUILER;SALUD;Y;PASIVO;M;UNIVERSITARIO_COMPLETO;3.0
50_a_75;2k_a_4k;3k_a_5k;2y_a_4y;;20k_a_50k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;INVERSIONES;Y;ACTIVO;F;DESCONOCIDO;0.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;25_a_30;1000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;0.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;DESCONOCIDO;0.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;4;ALQUILER;INVERSIONES;Y;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;0.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;4.0
30_a_50;2k_a_4k;mayor_10k;menor_2y;7p_a_15p;20k_a_50k;20_a_40;menor_10;menor_25;6000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;0.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;NA;menor_25;1000;3;ALQUILER;SALUD;N;ACTIVO;M;DESCONOCIDO;2.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;2.0
30_a_50;2k_a_4k;mayor_10k;menor_2y;7p_a_15p;20k_a_50k;20_a_40;menor_10;25_a_30;7500;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0
50_a_75;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;PERSONAL;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0
30_a_50;2k_a_4k;3k_a_5k;menor_2y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;PERSONAL;Y;ACTIVO;M;DESCONOCIDO;0.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;15p_a_20p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;4;ALQUILER;SALUD;N;ACTIVO;F;SECUNDARIO_COMPLETO;4.0
50_a_75;2k_a_4k;3k_a_5k;mayor_4y;15p_a_20p;20k_a_50k;hasta_20;5_a_10;25_a_30;1000;3;ALQUILER;PERSONAL;Y;ACTIVO;F;DESCONOCIDO;1.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;0.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;;20k_a_50k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;3.0
30_a_50;2k_a_4k;menor_3k;mayor_4y;;20k_a_50k;hasta_20;NA;menor_25;1550;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;POSGRADO_INCOMPLETO;0.0
30_a_50;2k_a_4k;menor_3k;mayor_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;PERSONAL;Y;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;0.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;15p_a_20p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;2;ALQUILER;EDUCACIÓN;Y;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0
50_a_75;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;DESCONOCIDO;2.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;hasta_7p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;2.0
30_a_50;2k_a_4k;mayor_10k;mayor_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;SALUD;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;;20k_a_50k;hasta_20;NA;menor_25;1000;2;HIPOTECA;PERSONAL;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;20_a_40;5_a_10;25_a_30;5975;4;HIPOTECA;SALUD;Y;ACTIVO;M;POSGRADO_INCOMPLETO;0.0
50_a_75;2k_a_4k;5k_a_10k;menor_2y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;1.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;hasta_7p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;5.0
50_a_75;2k_a_4k;5k_a_10k;2y_a_4y;15p_a_20p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;SECUNDARIO_COMPLETO;0.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;hasta_7p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0
30_a_50;2k_a_4k;menor_3k;menor_2y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0
15_a_30;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;INVERSIONES;N;ACTIVO;M;DESCONOCIDO;1.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;4000;3;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;3.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;0.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;SECUNDARIO_COMPLETO;1.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;EDUCACIÓN;Y;ACTIVO;M;SECUNDARIO_COMPLETO;3.0
30_a_50;2k_a_4k;menor_3k;2y_a_4y;15p_a_20p;20k_a_50k;hasta_20;NA;25_a_30;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;1.0
50_a_75;2k_a_4k;5k_a_10k;menor_2y;15p_a_20p;20k_a_50k;hasta_20;5_a_10;menor_25;1000;4;ALQUILER;PERSONAL;Y;ACTIVO;F;DESCONOCIDO;1.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;25_a_30;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;POSGRADO_INCOMPLETO;3.0
30_a_50;2k_a_4k;mayor_10k;mayor_4y;7p_a_15p;50k_a_100k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;0.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;20_a_40;mayor_10;25_a_30;8500;3;HIPOTECA;PERSONAL;Y;PASIVO;F;UNIVERSITARIO_INCOMPLETO;2.0
30_a_50;2k_a_4k;3k_a_5k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;4400;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0
30_a_50;2k_a_4k;mayor_10k;menor_2y;hasta_7p;50k_a_100k;hasta_20;menor_10;25_a_30;1000;3;ALQUILER;PERSONAL;N;ACTIVO;M;SECUNDARIO_COMPLETO;0.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;POSGRADO_COMPLETO;4.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;50k_a_100k;hasta_20;mayor_10;25_a_30;1000;3;ALQUILER;PERSONAL;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;1.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;50k_a_100k;hasta_20;5_a_10;menor_25;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0
50_a_75;2k_a_4k;menor_3k;menor_2y;7p_a_15p;50k_a_100k;hasta_20;5_a_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;DESCONOCIDO;2.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;50k_a_100k;hasta_20;NA;25_a_30;1000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;SECUNDARIO_COMPLETO;3.0
50_a_75;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;20k_a_50k;hasta_20;menor_10;menor_25;4000;4;PROPIA;INVERSIONES;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0
30_a_50;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;SALUD;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0
50_a_75;2k_a_4k;mayor_10k;2y_a_4y;7p_a_15p;50k_a_100k;hasta_20;menor_10;menor_25;1000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;POSGRADO_COMPLETO;3.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;50k_a_100k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;DESCONOCIDO;4.0
50_a_75;2k_a_4k;menor_3k;2y_a_4y;7p_a_15p;20k_a_50k;20_a_40;5_a_10;25_a_30;7200;4;HIPOTECA;SALUD;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0
30_a_50;2k_a_4k;5k_a_10k;2y_a_4y;7p_a_15p;50k_a_100k;hasta_20;menor_10;menor_25;1000;3;ALQUILER;PERSONAL;Y;ACTIVO;M;SECUNDARIO_COMPLETO;2.0
30_a_50;2k_a_4k;menor_3k;mayor_4y;7p_a_15p;50k_a_100k;hasta_20;menor_10;menor_25;1000;4;ALQUILER;PERSONAL;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0
